Files already downloaded and verified
Files already downloaded and verified
Taskcla:  [(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
Number of clients each task:  [10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time= 14.0s | Valid: time=  4.4s loss=3.022, TAw acc=  0.0% |
 Epoch: 2 | Train: time=  9.8s | Valid: time=  4.4s loss=2.104, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 10.1s | Valid: time=  4.4s loss=2.346, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 10.2s | Valid: time=  4.5s loss=1.908, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 10.0s | Valid: time=  4.4s loss=2.499, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 10.0s | Valid: time=  4.4s loss=2.288, TAw acc=  0.0% |
 Epoch: 7 | Train: time=  9.8s | Valid: time=  4.7s loss=2.494, TAw acc=  0.0% |
 Epoch: 8 | Train: time=  9.7s | Valid: time=  4.4s loss=1.912, TAw acc=  0.0% |
 Epoch: 9 | Train: time=  9.9s | Valid: time=  4.5s loss=2.351, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 10.0s | Valid: time=  4.8s loss=1.989, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 10.0s | Valid: time=  4.5s loss=2.036, TAw acc=  0.0% |
 Epoch: 12 | Train: time=  9.8s | Valid: time=  4.4s loss=4.782, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 10.0s | Valid: time=  4.7s loss=1.640, TAw acc=  0.0% |
 Epoch: 14 | Train: time=  9.7s | Valid: time=  4.4s loss=1.335, TAw acc=  0.0% |
 Epoch: 15 | Train: time=  9.8s | Valid: time=  4.4s loss=6.090, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 10.0s | Valid: time=  4.7s loss=1.601, TAw acc=  0.0% |
 Epoch: 17 | Train: time=  9.8s | Valid: time=  4.5s loss=1.814, TAw acc=  0.0% |
 Epoch: 18 | Train: time=  9.8s | Valid: time=  4.4s loss=1.378, TAw acc=  0.0% |
 Epoch: 19 | Train: time=  9.7s | Valid: time=  4.6s loss=2.360, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 10.0s | Valid: time=  4.3s loss=2.057, TAw acc=  0.0% |
 Epoch: 21 | Train: time=  9.7s | Valid: time=  4.4s loss=1.615, TAw acc=  0.0% |
 Epoch: 22 | Train: time=  9.9s | Valid: time=  4.4s loss=2.376, TAw acc=  0.0% |
 Epoch: 23 | Train: time=  9.7s | Valid: time=  4.5s loss=1.459, TAw acc=  0.0% |
 Epoch: 24 | Train: time=  9.8s | Valid: time=  4.4s loss=1.197, TAw acc=  0.0% |
 Epoch: 25 | Train: time=  9.6s | Valid: time=  4.5s loss=1.741, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 10.1s | Valid: time=  4.3s loss=1.215, TAw acc=  0.0% |
 Epoch: 27 | Train: time= 10.2s | Valid: time=  4.6s loss=1.593, TAw acc=  0.0% |
 Epoch: 28 | Train: time=  9.8s | Valid: time=  4.4s loss=1.631, TAw acc=  0.0% |
 Epoch: 29 | Train: time=  9.8s | Valid: time=  4.5s loss=1.087, TAw acc=  0.0% |
 Epoch: 30 | Train: time=  9.9s | Valid: time=  4.3s loss=2.219, TAw acc=  0.0% |
 Epoch: 31 | Train: time=  9.9s | Valid: time=  4.3s loss=1.109, TAw acc=  0.0% |
 Epoch: 32 | Train: time=  9.9s | Valid: time=  4.5s loss=1.340, TAw acc=  0.0% |
 Epoch: 33 | Train: time= 10.2s | Valid: time=  4.2s loss=5.292, TAw acc=  0.0% |
 Epoch: 34 | Train: time=  9.7s | Valid: time=  4.3s loss=1.239, TAw acc=  0.0% |
 Epoch: 35 | Train: time=  9.9s | Valid: time=  4.6s loss=0.945, TAw acc=  0.0% |
 Epoch: 36 | Train: time=  9.9s | Valid: time=  4.4s loss=0.950, TAw acc=  0.0% |
 Epoch: 37 | Train: time=  9.9s | Valid: time=  4.4s loss=0.903, TAw acc=  0.0% |
