Files already downloaded and verified
Files already downloaded and verified
num params: 472756
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  56, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.662, TAw acc=  0.0% |
| Epoch  57, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=0.697, TAw acc=  0.0% |
| Epoch  58, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.614, TAw acc=  0.0% |
| Epoch  59, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.766, TAw acc=  0.0% |
| Epoch  60, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.682, TAw acc=  0.0% |
| Epoch  61, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=0.670, TAw acc=  0.0% |
| Epoch  62, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=0.714, TAw acc=  0.0% |
| Epoch  63, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.721, TAw acc=  0.0% |
| Epoch  64, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.661, TAw acc=  0.0% |
| Epoch  65, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.695, TAw acc=  0.0% |
| Epoch  66, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.691, TAw acc=  0.0% |
| Epoch  67, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=0.650, TAw acc=  0.0% |
| Epoch  68, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.658, TAw acc=  0.0% |
| Epoch  69, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.640, TAw acc=  0.0% |
| Epoch  70, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.682, TAw acc=  0.0% |
| Epoch  71, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.690, TAw acc=  0.0% |
| Epoch  72, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.628, TAw acc=  0.0% |
| Epoch  73, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.624, TAw acc=  0.0% |
| Epoch  74, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.606, TAw acc=  0.0% | *
| Epoch  75, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.662, TAw acc=  0.0% |
| Epoch  76, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.673, TAw acc=  0.0% |
| Epoch  77, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.713, TAw acc=  0.0% |
| Epoch  78, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.702, TAw acc=  0.0% |
| Epoch  79, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.801, TAw acc=  0.0% |
| Epoch  80, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.797, TAw acc=  0.0% |
| Epoch  81, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.690, TAw acc=  0.0% |
| Epoch  82, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.725, TAw acc=  0.0% |
| Epoch  83, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.710, TAw acc=  0.0% |
| Epoch  84, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.693, TAw acc=  0.0% |
| Epoch  85, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.905, TAw acc=  0.0% |
| Epoch  86, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.628, TAw acc=  0.0% |
| Epoch  87, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.658, TAw acc=  0.0% |
| Epoch  88, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.599, TAw acc=  0.0% | *
| Epoch  89, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=0.629, TAw acc=  0.0% |
| Epoch  90, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.636, TAw acc=  0.0% |
| Epoch  91, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.632, TAw acc=  0.0% |
| Epoch  92, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.790, TAw acc=  0.0% |
| Epoch  93, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.685, TAw acc=  0.0% |
