Using downloaded and verified file: ./data/organamnist/organamnist.npz
Using downloaded and verified file: ./data/organamnist/organamnist.npz
Taskcla:  [(0, 3), (1, 3), (2, 3), (3, 2)]
Number of clients each task:  [10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
>>> Test on task  0 : loss=0.155 | TAw acc= 95.8%, forg=  0.0%| TAg acc=: 95.8%, forg=  0.0% <<<
Save at ./results/ACCV_2024_rebuttal/der/organa/organamnist_der_split_dp_fixd_csl_1
************************************************************************************************************
Task  1
************************************************************************************************************
 Epoch: 1 | Train: time=  9.1s | Valid: time=  3.7s loss=0.589, TAw acc= 77.4% | *
 Epoch: 2 | Train: time=  9.4s | Valid: time=  3.8s loss=0.317, TAw acc= 87.3% | *
 Epoch: 3 | Train: time=  9.6s | Valid: time=  3.7s loss=0.332, TAw acc= 85.1% |
 Epoch: 4 | Train: time=  9.1s | Valid: time=  4.1s loss=0.334, TAw acc= 87.8% |
 Epoch: 5 | Train: time=  9.2s | Valid: time=  4.1s loss=0.271, TAw acc= 90.0% | *
 Epoch: 6 | Train: time=  9.5s | Valid: time=  4.4s loss=0.310, TAw acc= 88.4% |
 Epoch: 7 | Train: time=  9.9s | Valid: time=  4.0s loss=0.596, TAw acc= 81.9% |
 Epoch: 8 | Train: time=  9.6s | Valid: time=  4.1s loss=0.378, TAw acc= 86.5% |
 Epoch: 9 | Train: time=  9.7s | Valid: time=  4.0s loss=0.533, TAw acc= 83.8% |
 Epoch: 10 | Train: time=  9.3s | Valid: time=  4.0s loss=0.237, TAw acc= 89.7% | *
 Epoch: 11 | Train: time=  9.2s | Valid: time=  3.7s loss=0.206, TAw acc= 93.0% | *
 Epoch: 12 | Train: time=  9.0s | Valid: time=  4.0s loss=0.267, TAw acc= 89.9% |
 Epoch: 13 | Train: time=  9.3s | Valid: time=  4.0s loss=0.204, TAw acc= 90.9% | *
 Epoch: 14 | Train: time=  9.1s | Valid: time=  4.3s loss=0.207, TAw acc= 91.9% |
 Epoch: 15 | Train: time=  9.1s | Valid: time=  4.1s loss=0.235, TAw acc= 90.7% |
 Epoch: 16 | Train: time=  9.1s | Valid: time=  4.0s loss=0.313, TAw acc= 89.7% |
 Epoch: 17 | Train: time=  9.3s | Valid: time=  4.1s loss=0.207, TAw acc= 92.7% |
 Epoch: 18 | Train: time=  9.7s | Valid: time=  4.1s loss=0.384, TAw acc= 86.7% |
 Epoch: 19 | Train: time=  9.7s | Valid: time=  4.0s loss=0.247, TAw acc= 90.8% |
 Epoch: 20 | Train: time=  9.2s | Valid: time=  4.1s loss=0.140, TAw acc= 95.2% | *
 Epoch: 21 | Train: time=  9.4s | Valid: time=  3.9s loss=0.223, TAw acc= 91.8% |
 Epoch: 22 | Train: time=  9.6s | Valid: time=  4.0s loss=0.166, TAw acc= 94.2% |
 Epoch: 23 | Train: time=  9.2s | Valid: time=  4.1s loss=0.292, TAw acc= 88.3% |
 Epoch: 24 | Train: time=  8.9s | Valid: time=  3.9s loss=0.129, TAw acc= 95.1% | *
 Epoch: 25 | Train: time=  9.5s | Valid: time=  4.1s loss=0.292, TAw acc= 91.1% |
 Epoch: 26 | Train: time=  9.2s | Valid: time=  4.1s loss=0.201, TAw acc= 92.5% |
 Epoch: 27 | Train: time=  9.6s | Valid: time=  4.1s loss=0.209, TAw acc= 93.5% |
 Epoch: 28 | Train: time=  9.0s | Valid: time=  4.0s loss=0.259, TAw acc= 92.3% |
 Epoch: 29 | Train: time=  9.6s | Valid: time=  3.9s loss=0.303, TAw acc= 89.5% |
 Epoch: 30 | Train: time=  9.6s | Valid: time=  3.9s loss=0.159, TAw acc= 94.7% |
 Epoch: 31 | Train: time=  8.7s | Valid: time=  3.7s loss=0.299, TAw acc= 90.2% |
 Epoch: 32 | Train: time=  9.4s | Valid: time=  3.7s loss=0.164, TAw acc= 94.6% |
 Epoch: 33 | Train: time=  9.4s | Valid: time=  3.8s loss=0.133, TAw acc= 95.9% |
 Epoch: 34 | Train: time=  9.0s | Valid: time=  3.7s loss=0.235, TAw acc= 93.2% |
 Epoch: 35 | Train: time=  9.1s | Valid: time=  3.7s loss=0.154, TAw acc= 93.6% |
 Epoch: 36 | Train: time=  9.2s | Valid: time=  3.7s loss=0.181, TAw acc= 93.2% |
 Epoch: 37 | Train: time=  9.3s | Valid: time=  4.3s loss=0.106, TAw acc= 96.6% | *
 Epoch: 38 | Train: time=  9.3s | Valid: time=  3.8s loss=0.171, TAw acc= 94.3% |
 Epoch: 39 | Train: time=  9.2s | Valid: time=  3.7s loss=0.177, TAw acc= 93.7% |
 Epoch: 40 | Train: time=  9.1s | Valid: time=  3.7s loss=0.185, TAw acc= 93.6% |
 Epoch: 41 | Train: time=  9.3s | Valid: time=  3.7s loss=0.981, TAw acc= 82.6% |
 Epoch: 42 | Train: time=  9.1s | Valid: time=  3.6s loss=0.160, TAw acc= 94.5% |
 Epoch: 43 | Train: time=  8.9s | Valid: time=  3.7s loss=0.206, TAw acc= 93.2% |
 Epoch: 44 | Train: time=  9.3s | Valid: time=  3.7s loss=0.192, TAw acc= 93.2% |
 Epoch: 45 | Train: time=  8.9s | Valid: time=  3.3s loss=0.183, TAw acc= 93.3% |
 Epoch: 46 | Train: time=  9.0s | Valid: time=  3.9s loss=0.119, TAw acc= 95.9% |
 Epoch: 47 | Train: time=  9.6s | Valid: time=  3.6s loss=0.096, TAw acc= 96.6% | *
 Epoch: 48 | Train: time=  9.1s | Valid: time=  3.7s loss=0.088, TAw acc= 96.5% | *
 Epoch: 49 | Train: time=  9.3s | Valid: time=  3.8s loss=0.095, TAw acc= 96.7% |
 Epoch: 50 | Train: time=  9.3s | Valid: time=  4.0s loss=0.172, TAw acc= 94.3% |
 Epoch: 51 | Train: time=  9.4s | Valid: time=  4.1s loss=0.247, TAw acc= 92.9% |
 Epoch: 52 | Train: time=  9.6s | Valid: time=  4.2s loss=0.101, TAw acc= 96.2% |
 Epoch: 53 | Train: time=  9.3s | Valid: time=  3.8s loss=0.187, TAw acc= 94.6% |
 Epoch: 54 | Train: time=  8.9s | Valid: time=  4.4s loss=0.156, TAw acc= 94.8% |
 Epoch: 55 | Train: time=  9.3s | Valid: time=  3.8s loss=0.272, TAw acc= 92.7% |
 Epoch: 56 | Train: time=  9.6s | Valid: time=  4.0s loss=0.134, TAw acc= 95.7% |
 Epoch: 57 | Train: time=  9.5s | Valid: time=  4.0s loss=0.120, TAw acc= 95.5% |
 Epoch: 58 | Train: time=  9.3s | Valid: time=  4.1s loss=0.088, TAw acc= 97.2% | *
 Epoch: 59 | Train: time=  9.6s | Valid: time=  3.9s loss=0.438, TAw acc= 88.6% |
 Epoch: 60 | Train: time=  9.7s | Valid: time=  4.0s loss=0.113, TAw acc= 96.3% |
 Epoch: 61 | Train: time=  9.4s | Valid: time=  3.9s loss=0.109, TAw acc= 96.3% |
 Epoch: 62 | Train: time=  8.9s | Valid: time=  4.1s loss=0.438, TAw acc= 89.9% |
 Epoch: 63 | Train: time=  9.3s | Valid: time=  4.0s loss=0.257, TAw acc= 92.2% |
 Epoch: 64 | Train: time=  9.3s | Valid: time=  4.0s loss=0.062, TAw acc= 97.4% | *
 Epoch: 65 | Train: time=  9.2s | Valid: time=  3.9s loss=0.102, TAw acc= 95.7% |
 Epoch: 66 | Train: time=  9.3s | Valid: time=  4.0s loss=0.176, TAw acc= 94.6% |
 Epoch: 67 | Train: time=  9.2s | Valid: time=  4.0s loss=0.106, TAw acc= 96.0% |
 Epoch: 68 | Train: time=  9.5s | Valid: time=  4.0s loss=0.123, TAw acc= 95.8% |
 Epoch: 69 | Train: time=  9.4s | Valid: time=  3.9s loss=0.148, TAw acc= 95.0% |
 Epoch: 70 | Train: time=  9.3s | Valid: time=  4.1s loss=0.109, TAw acc= 96.1% |
 Epoch: 71 | Train: time=  9.4s | Valid: time=  4.0s loss=0.117, TAw acc= 95.8% |
 Epoch: 72 | Train: time=  9.2s | Valid: time=  4.0s loss=0.176, TAw acc= 95.3% |
 Epoch: 73 | Train: time=  9.3s | Valid: time=  4.1s loss=0.107, TAw acc= 95.9% |
 Epoch: 74 | Train: time=  9.1s | Valid: time=  3.9s loss=0.094, TAw acc= 97.2% |
 Epoch: 75 | Train: time=  9.4s | Valid: time=  4.0s loss=0.118, TAw acc= 96.2% |
 Epoch: 76 | Train: time=  9.4s | Valid: time=  4.0s loss=0.086, TAw acc= 96.3% |
 Epoch: 77 | Train: time=  9.4s | Valid: time=  4.1s loss=0.305, TAw acc= 90.4% |
 Epoch: 78 | Train: time=  9.2s | Valid: time=  4.0s loss=0.261, TAw acc= 93.1% |
 Epoch: 79 | Train: time=  9.4s | Valid: time=  3.9s loss=0.113, TAw acc= 96.3% |
num_cls : 6
num_exemplars:  600
original_exemplars_per_class:  100
--------------------------------------------------
--------------------------------------------------
| Selected 300 train exemplars, time= 32.3s
| Constructed 501 exemplars
Final memory length:  201
self.logits length and one shape:  201 (6,)
Previous classes:  [0 1 2 3 4 5]
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=8.959 | TAw acc= 72.7%, forg= 23.0%| TAg acc=:  0.0%, forg= 95.8% <<<
>>> Test on task  1 : loss=0.231 | TAw acc= 92.5%, forg=  0.0%| TAg acc=: 92.5%, forg=  0.0% <<<
Save at ./results/ACCV_2024_rebuttal/der/organa/organamnist_der_split_dp_fixd_csl_1
************************************************************************************************************
Task  2
************************************************************************************************************
 Epoch: 1 | Train: time= 11.2s | Valid: time=  4.5s loss=0.046, TAw acc= 99.5% | *
 Epoch: 2 | Train: time= 11.0s | Valid: time=  4.4s loss=0.046, TAw acc= 98.9% |
 Epoch: 3 | Train: time= 10.6s | Valid: time=  4.3s loss=0.030, TAw acc= 99.0% | *
 Epoch: 4 | Train: time= 10.5s | Valid: time=  4.3s loss=0.018, TAw acc= 99.6% | *
 Epoch: 5 | Train: time= 10.9s | Valid: time=  4.4s loss=0.016, TAw acc= 99.3% | *
 Epoch: 6 | Train: time= 11.4s | Valid: time=  4.3s loss=0.007, TAw acc= 99.8% | *
 Epoch: 7 | Train: time= 11.5s | Valid: time=  4.4s loss=0.007, TAw acc= 99.8% |
 Epoch: 8 | Train: time= 11.6s | Valid: time=  4.4s loss=0.013, TAw acc= 99.7% |
 Epoch: 9 | Train: time= 11.8s | Valid: time=  4.4s loss=0.008, TAw acc= 99.8% |
 Epoch: 10 | Train: time= 11.7s | Valid: time=  4.2s loss=0.004, TAw acc= 99.9% | *
 Epoch: 11 | Train: time= 11.7s | Valid: time=  4.5s loss=0.006, TAw acc= 99.8% |
 Epoch: 12 | Train: time= 11.7s | Valid: time=  4.3s loss=0.007, TAw acc= 99.8% |
 Epoch: 13 | Train: time= 11.5s | Valid: time=  4.3s loss=0.005, TAw acc=100.0% |
 Epoch: 14 | Train: time= 11.2s | Valid: time=  4.4s loss=0.012, TAw acc= 99.6% |
 Epoch: 15 | Train: time= 11.5s | Valid: time=  4.4s loss=0.002, TAw acc=100.0% | *
 Epoch: 16 | Train: time= 11.7s | Valid: time=  4.5s loss=0.015, TAw acc= 99.7% |
 Epoch: 17 | Train: time= 11.2s | Valid: time=  4.4s loss=0.007, TAw acc= 99.9% |
 Epoch: 18 | Train: time= 11.2s | Valid: time=  4.5s loss=0.002, TAw acc=100.0% |
 Epoch: 19 | Train: time= 11.5s | Valid: time=  4.4s loss=0.003, TAw acc= 99.9% |
 Epoch: 20 | Train: time= 11.8s | Valid: time=  4.5s loss=0.005, TAw acc= 99.9% |
 Epoch: 21 | Train: time= 11.5s | Valid: time=  4.4s loss=0.005, TAw acc= 99.8% |
 Epoch: 22 | Train: time= 11.5s | Valid: time=  4.3s loss=0.002, TAw acc= 99.9% |
 Epoch: 23 | Train: time= 11.3s | Valid: time=  4.5s loss=0.002, TAw acc=100.0% |
 Epoch: 24 | Train: time= 11.7s | Valid: time=  4.3s loss=0.001, TAw acc= 99.9% | *
 Epoch: 25 | Train: time= 11.3s | Valid: time=  4.2s loss=0.005, TAw acc= 99.9% |
 Epoch: 26 | Train: time= 11.5s | Valid: time=  4.3s loss=0.008, TAw acc= 99.7% |
 Epoch: 27 | Train: time= 11.5s | Valid: time=  4.4s loss=0.010, TAw acc= 99.7% |
 Epoch: 28 | Train: time= 11.2s | Valid: time=  4.3s loss=0.002, TAw acc=100.0% |
 Epoch: 29 | Train: time= 11.2s | Valid: time=  4.4s loss=0.002, TAw acc=100.0% |
 Epoch: 30 | Train: time= 11.3s | Valid: time=  4.3s loss=0.001, TAw acc=100.0% | *
 Epoch: 31 | Train: time= 11.2s | Valid: time=  4.5s loss=0.005, TAw acc= 99.8% |
 Epoch: 32 | Train: time= 11.5s | Valid: time=  4.4s loss=0.003, TAw acc=100.0% |
