Taskcla:  [(0, 2), (1, 2), (2, 2), (3, 2)]
Number of clients each task:  [10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time= 17.0s | Valid: time=  6.5s loss=0.282, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 11.0s | Valid: time=  6.6s loss=0.186, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 10.9s | Valid: time=  6.6s loss=0.203, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 11.3s | Valid: time=  5.8s loss=0.206, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 10.2s | Valid: time=  6.2s loss=0.211, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 10.6s | Valid: time=  6.1s loss=0.249, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 10.4s | Valid: time=  6.7s loss=0.192, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 10.5s | Valid: time=  6.2s loss=0.177, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 10.2s | Valid: time=  6.3s loss=0.209, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 10.4s | Valid: time=  6.1s loss=0.209, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 10.1s | Valid: time=  6.1s loss=0.220, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 10.5s | Valid: time=  6.1s loss=0.221, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 10.5s | Valid: time=  6.0s loss=0.208, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 11.4s | Valid: time=  6.2s loss=0.180, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 10.5s | Valid: time=  6.2s loss=0.222, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 10.7s | Valid: time=  6.0s loss=0.204, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 10.2s | Valid: time=  6.0s loss=0.235, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 10.9s | Valid: time=  6.4s loss=0.204, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 10.5s | Valid: time=  6.3s loss=0.210, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 10.1s | Valid: time=  6.5s loss=0.185, TAw acc=  0.0% |
 Epoch: 21 | Train: time= 10.4s | Valid: time=  6.5s loss=0.287, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 10.2s | Valid: time=  6.3s loss=0.250, TAw acc=  0.0% |
 Epoch: 23 | Train: time= 10.7s | Valid: time=  6.5s loss=0.242, TAw acc=  0.0% |
 Epoch: 24 | Train: time= 10.5s | Valid: time=  6.3s loss=0.231, TAw acc=  0.0% |
 Epoch: 25 | Train: time= 10.5s | Valid: time=  6.4s loss=0.201, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 10.6s | Valid: time=  6.4s loss=0.200, TAw acc=  0.0% |
 Epoch: 27 | Train: time= 10.6s | Valid: time=  6.4s loss=0.231, TAw acc=  0.0% |
 Epoch: 28 | Train: time= 10.6s | Valid: time=  6.6s loss=0.221, TAw acc=  0.0% |
 Epoch: 29 | Train: time= 10.7s | Valid: time=  6.2s loss=0.247, TAw acc=  0.0% |
 Epoch: 30 | Train: time= 10.4s | Valid: time=  6.4s loss=0.308, TAw acc=  0.0% |
 Epoch: 31 | Train: time= 10.5s | Valid: time=  6.4s loss=0.193, TAw acc=  0.0% |
 Epoch: 32 | Train: time= 10.2s | Valid: time=  6.2s loss=0.370, TAw acc=  0.0% |
 Epoch: 33 | Train: time= 10.5s | Valid: time=  6.7s loss=0.244, TAw acc=  0.0% |
 Epoch: 34 | Train: time=  9.8s | Valid: time=  6.4s loss=0.355, TAw acc=  0.0% |
 Epoch: 35 | Train: time= 10.3s | Valid: time=  6.3s loss=0.277, TAw acc=  0.0% |
 Epoch: 36 | Train: time= 10.6s | Valid: time=  6.0s loss=0.258, TAw acc=  0.0% |
 Epoch: 37 | Train: time= 10.3s | Valid: time=  6.1s loss=0.260, TAw acc=  0.0% |
 Epoch: 38 | Train: time= 10.5s | Valid: time=  6.2s loss=0.274, TAw acc=  0.0% |
 Epoch: 39 | Train: time= 10.8s | Valid: time=  6.1s loss=0.274, TAw acc=  0.0% |
