Using downloaded and verified file: ./data/organamnist/organamnist.npz
Using downloaded and verified file: ./data/organamnist/organamnist.npz
Taskcla:  [(0, 3), (1, 3), (2, 3), (3, 2)]
Number of clients each task:  [10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time= 18.6s | Valid: time=  5.7s loss=0.978, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 10.9s | Valid: time=  5.8s loss=2.053, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 11.4s | Valid: time=  5.9s loss=1.313, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 11.3s | Valid: time=  5.6s loss=0.562, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 11.1s | Valid: time=  5.6s loss=0.431, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 11.2s | Valid: time=  5.6s loss=1.715, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 11.1s | Valid: time=  5.9s loss=2.702, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 11.0s | Valid: time=  6.0s loss=0.191, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 11.0s | Valid: time=  5.8s loss=0.229, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 11.2s | Valid: time=  5.9s loss=0.238, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 11.2s | Valid: time=  6.0s loss=0.510, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 11.2s | Valid: time=  5.7s loss=0.259, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 11.0s | Valid: time=  5.7s loss=0.243, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 11.3s | Valid: time=  5.8s loss=0.707, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 10.8s | Valid: time=  5.8s loss=0.107, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 10.9s | Valid: time=  5.8s loss=0.109, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 11.2s | Valid: time=  5.5s loss=0.628, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 11.2s | Valid: time=  5.6s loss=0.216, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 11.1s | Valid: time=  5.7s loss=0.135, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 11.4s | Valid: time=  5.7s loss=0.140, TAw acc=  0.0% |
 Epoch: 21 | Train: time= 11.4s | Valid: time=  5.3s loss=0.093, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 11.0s | Valid: time=  5.9s loss=0.107, TAw acc=  0.0% |
 Epoch: 23 | Train: time= 11.4s | Valid: time=  5.9s loss=0.094, TAw acc=  0.0% |
 Epoch: 24 | Train: time= 10.8s | Valid: time=  5.9s loss=0.107, TAw acc=  0.0% |
 Epoch: 25 | Train: time= 11.0s | Valid: time=  5.6s loss=0.433, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 10.5s | Valid: time=  5.6s loss=0.111, TAw acc=  0.0% |
 Epoch: 27 | Train: time= 10.8s | Valid: time=  5.5s loss=0.103, TAw acc=  0.0% |
 Epoch: 28 | Train: time= 10.7s | Valid: time=  5.3s loss=0.080, TAw acc=  0.0% |
 Epoch: 29 | Train: time= 10.6s | Valid: time=  5.2s loss=0.140, TAw acc=  0.0% |
 Epoch: 30 | Train: time= 10.6s | Valid: time=  5.8s loss=0.108, TAw acc=  0.0% |
 Epoch: 31 | Train: time= 11.2s | Valid: time=  5.6s loss=0.094, TAw acc=  0.0% |
 Epoch: 32 | Train: time= 11.1s | Valid: time=  5.7s loss=0.108, TAw acc=  0.0% |
 Epoch: 33 | Train: time= 10.9s | Valid: time=  5.4s loss=0.116, TAw acc=  0.0% |
 Epoch: 34 | Train: time= 10.8s | Valid: time=  5.5s loss=0.094, TAw acc=  0.0% |
 Epoch: 35 | Train: time= 10.9s | Valid: time=  5.7s loss=0.076, TAw acc=  0.0% |
 Epoch: 36 | Train: time= 11.1s | Valid: time=  5.9s loss=0.073, TAw acc=  0.0% |
 Epoch: 37 | Train: time= 11.3s | Valid: time=  5.5s loss=0.069, TAw acc=  0.0% |
 Epoch: 38 | Train: time= 11.3s | Valid: time=  5.6s loss=0.065, TAw acc=  0.0% |
 Epoch: 39 | Train: time= 11.4s | Valid: time=  5.7s loss=0.073, TAw acc=  0.0% |
 Epoch: 40 | Train: time= 11.3s | Valid: time=  6.0s loss=0.078, TAw acc=  0.0% |
 Epoch: 41 | Train: time= 11.2s | Valid: time=  5.6s loss=0.061, TAw acc=  0.0% |
 Epoch: 42 | Train: time= 11.0s | Valid: time=  5.6s loss=0.074, TAw acc=  0.0% |
 Epoch: 43 | Train: time= 11.2s | Valid: time=  5.6s loss=0.055, TAw acc=  0.0% |
 Epoch: 44 | Train: time= 11.1s | Valid: time=  5.7s loss=0.071, TAw acc=  0.0% |
 Epoch: 45 | Train: time= 11.2s | Valid: time=  5.7s loss=0.065, TAw acc=  0.0% |
 Epoch: 46 | Train: time= 10.9s | Valid: time=  5.8s loss=0.063, TAw acc=  0.0% |
 Epoch: 47 | Train: time= 11.0s | Valid: time=  5.6s loss=0.068, TAw acc=  0.0% |
 Epoch: 48 | Train: time= 11.0s | Valid: time=  5.9s loss=0.069, TAw acc=  0.0% |
 Epoch: 49 | Train: time= 11.1s | Valid: time=  5.8s loss=0.068, TAw acc=  0.0% |
 Epoch: 50 | Train: time= 11.2s | Valid: time=  5.7s loss=0.073, TAw acc=  0.0% |
