Files already downloaded and verified
Files already downloaded and verified
Classifier output dim:  100
num params: 11220132
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  49, time=  8.1s | Train: skip eval | Valid: time=  0.2s loss=0.609, TAw acc=  0.0% | lr: 0.0300
| Epoch  50, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.686, TAw acc=  0.0% | lr: 0.0300
| Epoch  51, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.552, TAw acc=  0.0% | lr: 0.0300
| Epoch  52, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.685, TAw acc=  0.0% | lr: 0.0300
| Epoch  53, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.511, TAw acc=  0.0% | lr: 0.0300
| Epoch  54, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.770, TAw acc=  0.0% | lr: 0.0300
| Epoch  55, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.604, TAw acc=  0.0% | lr: 0.0300
| Epoch  56, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.581, TAw acc=  0.0% | lr: 0.0300
| Epoch  57, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.535, TAw acc=  0.0% | lr: 0.0300
| Epoch  58, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.606, TAw acc=  0.0% | lr: 0.0300
| Epoch  59, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.552, TAw acc=  0.0% | lr: 0.0300
| Epoch  60, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.538, TAw acc=  0.0% | lr: 0.0300
| Epoch  61, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.520, TAw acc=  0.0% | lr: 0.0300
| Epoch  62, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.559, TAw acc=  0.0% | lr: 0.0300
| Epoch  63, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.604, TAw acc=  0.0% | lr: 0.0300
| Epoch  64, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.786, TAw acc=  0.0% | lr: 0.0300
| Epoch  65, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.645, TAw acc=  0.0% | lr: 0.0300
| Epoch  66, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.519, TAw acc=  0.0% | lr: 0.0300
| Epoch  67, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.510, TAw acc=  0.0% | lr: 0.0300
| Epoch  68, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.498, TAw acc=  0.0% | lr: 0.0300
