Files already downloaded and verified
Files already downloaded and verified
Classifier output dim:  100
num params: 11220132
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 14.0s | Train: skip eval | Valid: time=  0.2s loss=2.123, TAw acc=  0.0% | lr: 0.0300
| Epoch   2, time=  9.4s | Train: skip eval | Valid: time=  0.2s loss=1.829, TAw acc=  0.0% | lr: 0.0300
| Epoch   3, time=  9.4s | Train: skip eval | Valid: time=  0.2s loss=1.521, TAw acc=  0.0% | lr: 0.0300
| Epoch   4, time=  9.4s | Train: skip eval | Valid: time=  0.2s loss=1.814, TAw acc=  0.0% | lr: 0.0300
| Epoch   5, time=  9.5s | Train: skip eval | Valid: time=  0.2s loss=2.035, TAw acc=  0.0% | lr: 0.0300
| Epoch   6, time=  9.4s | Train: skip eval | Valid: time=  0.2s loss=1.334, TAw acc=  0.0% | lr: 0.0300
| Epoch   7, time=  9.5s | Train: skip eval | Valid: time=  0.2s loss=1.229, TAw acc=  0.0% | lr: 0.0300
| Epoch   8, time=  9.4s | Train: skip eval | Valid: time=  0.2s loss=1.024, TAw acc=  0.0% | lr: 0.0300
| Epoch   9, time=  9.3s | Train: skip eval | Valid: time=  0.2s loss=2.318, TAw acc=  0.0% | lr: 0.0300
| Epoch  10, time=  9.4s | Train: skip eval | Valid: time=  0.2s loss=0.999, TAw acc=  0.0% | lr: 0.0300
| Epoch  11, time=  9.5s | Train: skip eval | Valid: time=  0.2s loss=1.441, TAw acc=  0.0% | lr: 0.0300
| Epoch  12, time=  9.6s | Train: skip eval | Valid: time=  0.2s loss=1.010, TAw acc=  0.0% | lr: 0.0300
| Epoch  13, time=  9.4s | Train: skip eval | Valid: time=  0.2s loss=1.130, TAw acc=  0.0% | lr: 0.0300
| Epoch  14, time=  9.4s | Train: skip eval | Valid: time=  0.2s loss=1.009, TAw acc=  0.0% | lr: 0.0300
| Epoch  15, time=  9.4s | Train: skip eval | Valid: time=  0.2s loss=1.124, TAw acc=  0.0% | lr: 0.0300
| Epoch  16, time=  9.4s | Train: skip eval | Valid: time=  0.2s loss=0.876, TAw acc=  0.0% | lr: 0.0300
| Epoch  17, time=  9.4s | Train: skip eval | Valid: time=  0.2s loss=0.920, TAw acc=  0.0% | lr: 0.0300
| Epoch  18, time=  9.4s | Train: skip eval | Valid: time=  0.2s loss=0.858, TAw acc=  0.0% | lr: 0.0300
| Epoch  19, time=  9.1s | Train: skip eval | Valid: time=  0.2s loss=0.711, TAw acc=  0.0% | lr: 0.0300
| Epoch  20, time=  9.3s | Train: skip eval | Valid: time=  0.2s loss=0.992, TAw acc=  0.0% | lr: 0.0300
| Epoch  21, time=  9.3s | Train: skip eval | Valid: time=  0.2s loss=0.919, TAw acc=  0.0% | lr: 0.0300
