Files already downloaded and verified
Files already downloaded and verified
Taskcla:  [(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
Number of clients each task:  [10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 59 | Train: time=  6.9s | Valid: time=  4.3s loss=0.970, TAw acc= 70.8% |
 Epoch: 60 | Train: time=  7.0s | Valid: time=  4.2s loss=0.779, TAw acc= 77.2% |
 Epoch: 61 | Train: time=  7.0s | Valid: time=  4.2s loss=0.748, TAw acc= 78.4% |
 Epoch: 62 | Train: time=  6.8s | Valid: time=  4.2s loss=0.902, TAw acc= 72.2% |
 Epoch: 63 | Train: time=  7.0s | Valid: time=  4.3s loss=1.147, TAw acc= 69.0% |
 Epoch: 64 | Train: time=  6.9s | Valid: time=  4.2s loss=0.734, TAw acc= 79.0% |
 Epoch: 65 | Train: time=  7.2s | Valid: time=  4.3s loss=1.070, TAw acc= 72.2% |
 Epoch: 66 | Train: time=  7.2s | Valid: time=  4.4s loss=0.873, TAw acc= 75.4% |
 Epoch: 67 | Train: time=  7.0s | Valid: time=  4.2s loss=0.815, TAw acc= 77.0% |
 Epoch: 68 | Train: time=  6.9s | Valid: time=  4.3s loss=0.839, TAw acc= 76.4% |
 Epoch: 69 | Train: time=  7.0s | Valid: time=  4.3s loss=0.723, TAw acc= 78.2% | *
 Epoch: 70 | Train: time=  7.0s | Valid: time=  4.4s loss=0.990, TAw acc= 72.8% |
 Epoch: 71 | Train: time=  6.9s | Valid: time=  4.2s loss=0.707, TAw acc= 78.0% | *
 Epoch: 72 | Train: time=  7.0s | Valid: time=  4.3s loss=0.915, TAw acc= 74.2% |
 Epoch: 73 | Train: time=  7.1s | Valid: time=  4.3s loss=0.825, TAw acc= 76.6% |
 Epoch: 74 | Train: time=  7.1s | Valid: time=  4.2s loss=0.964, TAw acc= 75.2% |
 Epoch: 75 | Train: time=  7.1s | Valid: time=  4.3s loss=0.732, TAw acc= 79.8% |
 Epoch: 76 | Train: time=  7.1s | Valid: time=  4.3s loss=0.882, TAw acc= 77.8% |
 Epoch: 77 | Train: time=  7.0s | Valid: time=  4.4s loss=0.721, TAw acc= 77.6% |
 Epoch: 78 | Train: time=  7.1s | Valid: time=  4.3s loss=0.828, TAw acc= 77.0% |
 Epoch: 79 | Train: time=  7.0s | Valid: time=  4.2s loss=0.720, TAw acc= 79.6% |
 Epoch: 80 | Train: time=  7.0s | Valid: time=  4.2s loss=0.709, TAw acc= 77.2% |
 Epoch: 81 | Train: time=  6.8s | Valid: time=  4.4s loss=0.839, TAw acc= 77.8% |
 Epoch: 82 | Train: time=  6.9s | Valid: time=  4.4s loss=0.807, TAw acc= 76.8% |
 Epoch: 83 | Train: time=  7.0s | Valid: time=  4.3s loss=1.375, TAw acc= 66.6% |
 Epoch: 84 | Train: time=  7.1s | Valid: time=  4.2s loss=1.078, TAw acc= 74.0% |
 Epoch: 85 | Train: time=  7.0s | Valid: time=  4.2s loss=0.926, TAw acc= 74.8% |
 Epoch: 86 | Train: time=  6.8s | Valid: time=  4.3s loss=0.826, TAw acc= 77.8% |
 Epoch: 87 | Train: time=  7.3s | Valid: time=  4.3s loss=0.681, TAw acc= 79.8% | *
 Epoch: 88 | Train: time=  7.0s | Valid: time=  4.2s loss=0.720, TAw acc= 79.2% |
 Epoch: 89 | Train: time=  7.1s | Valid: time=  4.2s loss=0.759, TAw acc= 78.2% |
 Epoch: 90 | Train: time=  6.9s | Valid: time=  4.0s loss=0.850, TAw acc= 77.8% |
 Epoch: 91 | Train: time=  7.1s | Valid: time=  4.3s loss=0.827, TAw acc= 77.6% |
 Epoch: 92 | Train: time=  7.0s | Valid: time=  4.1s loss=1.051, TAw acc= 75.8% |
 Epoch: 93 | Train: time=  7.0s | Valid: time=  4.3s loss=0.817, TAw acc= 76.4% |
 Epoch: 94 | Train: time=  7.2s | Valid: time=  4.2s loss=0.801, TAw acc= 77.0% |
 Epoch: 95 | Train: time=  7.1s | Valid: time=  4.2s loss=0.701, TAw acc= 81.0% |
 Epoch: 96 | Train: time=  7.0s | Valid: time=  4.2s loss=0.943, TAw acc= 76.8% |
 Epoch: 97 | Train: time=  6.7s | Valid: time=  4.3s loss=0.879, TAw acc= 78.2% |
 Epoch: 98 | Train: time=  7.3s | Valid: time=  4.4s loss=0.732, TAw acc= 79.2% |
 Epoch: 99 | Train: time=  6.9s | Valid: time=  4.2s loss=0.945, TAw acc= 76.6% |
 Epoch: 100 | Train: time=  7.1s | Valid: time=  4.2s loss=0.652, TAw acc= 80.8% | *
 Epoch: 101 | Train: time=  7.0s | Valid: time=  4.4s loss=0.758, TAw acc= 78.8% |
