Using downloaded and verified file: ./data/organamnist/organamnist.npz
Using downloaded and verified file: ./data/organamnist/organamnist.npz
Taskcla:  [(0, 3), (1, 3), (2, 3), (3, 2)]
Number of clients each task:  [10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time=  5.8s | Valid: time=  3.3s loss=0.848, TAw acc= 64.1% | *
 Epoch: 2 | Train: time=  6.0s | Valid: time=  3.2s loss=0.417, TAw acc= 83.7% | *
 Epoch: 3 | Train: time=  6.1s | Valid: time=  3.3s loss=0.609, TAw acc= 83.3% |
 Epoch: 4 | Train: time=  6.0s | Valid: time=  3.2s loss=0.193, TAw acc= 93.5% | *
 Epoch: 5 | Train: time=  6.0s | Valid: time=  3.3s loss=0.169, TAw acc= 95.0% | *
 Epoch: 6 | Train: time=  6.1s | Valid: time=  3.3s loss=0.140, TAw acc= 96.4% | *
 Epoch: 7 | Train: time=  6.2s | Valid: time=  3.3s loss=0.316, TAw acc= 87.8% |
 Epoch: 8 | Train: time=  6.2s | Valid: time=  3.2s loss=0.493, TAw acc= 82.0% |
 Epoch: 9 | Train: time=  6.1s | Valid: time=  3.5s loss=0.309, TAw acc= 89.9% |
 Epoch: 10 | Train: time=  6.1s | Valid: time=  3.2s loss=0.122, TAw acc= 94.9% | *
 Epoch: 11 | Train: time=  6.1s | Valid: time=  3.2s loss=0.145, TAw acc= 94.7% |
 Epoch: 12 | Train: time=  6.0s | Valid: time=  3.2s loss=0.178, TAw acc= 93.8% |
 Epoch: 13 | Train: time=  5.9s | Valid: time=  3.3s loss=0.139, TAw acc= 95.8% |
 Epoch: 14 | Train: time=  6.3s | Valid: time=  3.3s loss=0.120, TAw acc= 95.8% | *
 Epoch: 15 | Train: time=  6.2s | Valid: time=  3.6s loss=0.320, TAw acc= 90.6% |
 Epoch: 16 | Train: time=  6.0s | Valid: time=  3.2s loss=0.187, TAw acc= 93.1% |
 Epoch: 17 | Train: time=  5.9s | Valid: time=  3.2s loss=0.169, TAw acc= 94.4% |
 Epoch: 18 | Train: time=  6.1s | Valid: time=  3.2s loss=0.068, TAw acc= 98.1% | *
 Epoch: 19 | Train: time=  6.1s | Valid: time=  3.3s loss=0.121, TAw acc= 96.7% |
 Epoch: 20 | Train: time=  6.1s | Valid: time=  3.2s loss=0.076, TAw acc= 98.1% |
 Epoch: 21 | Train: time=  5.9s | Valid: time=  3.5s loss=0.120, TAw acc= 95.9% |
 Epoch: 22 | Train: time=  5.9s | Valid: time=  3.3s loss=0.127, TAw acc= 96.8% |
 Epoch: 23 | Train: time=  6.0s | Valid: time=  3.3s loss=0.193, TAw acc= 93.9% |
 Epoch: 24 | Train: time=  6.1s | Valid: time=  3.2s loss=0.104, TAw acc= 95.5% |
 Epoch: 25 | Train: time=  6.1s | Valid: time=  3.2s loss=0.069, TAw acc= 98.1% |
 Epoch: 26 | Train: time=  6.1s | Valid: time=  3.6s loss=0.062, TAw acc= 98.3% | *
 Epoch: 27 | Train: time=  6.1s | Valid: time=  3.3s loss=0.449, TAw acc= 88.3% |
 Epoch: 28 | Train: time=  6.1s | Valid: time=  3.3s loss=0.102, TAw acc= 97.0% |
 Epoch: 29 | Train: time=  6.0s | Valid: time=  3.3s loss=0.057, TAw acc= 98.3% | *
 Epoch: 30 | Train: time=  5.9s | Valid: time=  3.3s loss=0.370, TAw acc= 91.8% |
 Epoch: 31 | Train: time=  5.8s | Valid: time=  3.3s loss=0.162, TAw acc= 95.3% |
 Epoch: 32 | Train: time=  5.7s | Valid: time=  3.3s loss=0.137, TAw acc= 96.2% |
 Epoch: 33 | Train: time=  5.8s | Valid: time=  3.3s loss=0.146, TAw acc= 95.8% |
 Epoch: 34 | Train: time=  6.0s | Valid: time=  3.2s loss=0.110, TAw acc= 96.4% |
 Epoch: 35 | Train: time=  6.0s | Valid: time=  3.2s loss=0.095, TAw acc= 96.0% |
 Epoch: 36 | Train: time=  5.9s | Valid: time=  3.2s loss=0.106, TAw acc= 96.7% |
 Epoch: 37 | Train: time=  5.9s | Valid: time=  3.4s loss=0.075, TAw acc= 97.2% |
 Epoch: 38 | Train: time=  6.0s | Valid: time=  3.3s loss=0.057, TAw acc= 98.1% |
 Epoch: 39 | Train: time=  5.9s | Valid: time=  3.2s loss=0.048, TAw acc= 98.1% | *
 Epoch: 40 | Train: time=  5.8s | Valid: time=  3.5s loss=0.054, TAw acc= 98.1% |
 Epoch: 41 | Train: time=  5.9s | Valid: time=  3.2s loss=0.051, TAw acc= 98.3% |
 Epoch: 42 | Train: time=  6.0s | Valid: time=  3.6s loss=0.282, TAw acc= 90.6% |
 Epoch: 43 | Train: time=  5.9s | Valid: time=  3.2s loss=0.075, TAw acc= 96.7% |
 Epoch: 44 | Train: time=  5.8s | Valid: time=  3.3s loss=0.045, TAw acc= 98.7% | *
 Epoch: 45 | Train: time=  6.0s | Valid: time=  3.2s loss=0.050, TAw acc= 98.3% |
 Epoch: 46 | Train: time=  6.1s | Valid: time=  3.3s loss=0.091, TAw acc= 97.3% |
 Epoch: 47 | Train: time=  5.9s | Valid: time=  3.3s loss=0.650, TAw acc= 86.7% |
 Epoch: 48 | Train: time=  6.0s | Valid: time=  3.3s loss=0.048, TAw acc= 98.2% |
 Epoch: 49 | Train: time=  5.9s | Valid: time=  3.2s loss=0.060, TAw acc= 97.7% |
 Epoch: 50 | Train: time=  6.0s | Valid: time=  3.2s loss=0.069, TAw acc= 97.2% |
 Epoch: 51 | Train: time=  6.0s | Valid: time=  3.3s loss=0.035, TAw acc= 99.2% | *
 Epoch: 52 | Train: time=  6.0s | Valid: time=  3.4s loss=0.079, TAw acc= 96.4% |
 Epoch: 53 | Train: time=  6.1s | Valid: time=  3.2s loss=0.073, TAw acc= 97.6% |
 Epoch: 54 | Train: time=  6.1s | Valid: time=  3.2s loss=0.045, TAw acc= 99.0% |
 Epoch: 55 | Train: time=  6.0s | Valid: time=  3.3s loss=0.103, TAw acc= 96.1% |
