Files already downloaded and verified
Files already downloaded and verified
Classifier output dim:  100
num params: 11220132
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 16.5s | Train: skip eval | Valid: time=  0.3s loss=1.601, TAw acc=  0.0% | lr: 0.0300
| Epoch   2, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.484, TAw acc=  0.0% | lr: 0.0300
| Epoch   3, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=1.323, TAw acc=  0.0% | lr: 0.0300
| Epoch   4, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=1.172, TAw acc=  0.0% | lr: 0.0300
| Epoch   5, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.064, TAw acc=  0.0% | lr: 0.0300
| Epoch   6, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.993, TAw acc=  0.0% | lr: 0.0300
| Epoch   7, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.083, TAw acc=  0.0% | lr: 0.0300
| Epoch   8, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.043, TAw acc=  0.0% | lr: 0.0300
| Epoch   9, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.833, TAw acc=  0.0% | lr: 0.0300
| Epoch  10, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.983, TAw acc=  0.0% | lr: 0.0300
| Epoch  11, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.884, TAw acc=  0.0% | lr: 0.0300
| Epoch  12, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.807, TAw acc=  0.0% | lr: 0.0300
| Epoch  13, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.752, TAw acc=  0.0% | lr: 0.0300
| Epoch  14, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.749, TAw acc=  0.0% | lr: 0.0300
| Epoch  15, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.799, TAw acc=  0.0% | lr: 0.0300
| Epoch  16, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=0.961, TAw acc=  0.0% | lr: 0.0300
| Epoch  17, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.723, TAw acc=  0.0% | lr: 0.0300
| Epoch  18, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.778, TAw acc=  0.0% | lr: 0.0300
| Epoch  19, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.811, TAw acc=  0.0% | lr: 0.0300
| Epoch  20, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.726, TAw acc=  0.0% | lr: 0.0300
| Epoch  21, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.679, TAw acc=  0.0% | lr: 0.0300
| Epoch  22, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.707, TAw acc=  0.0% | lr: 0.0300
| Epoch  23, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.758, TAw acc=  0.0% | lr: 0.0300
| Epoch  24, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.625, TAw acc=  0.0% | lr: 0.0300
| Epoch  25, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.594, TAw acc=  0.0% | lr: 0.0300
| Epoch  26, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.635, TAw acc=  0.0% | lr: 0.0300
| Epoch  27, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.848, TAw acc=  0.0% | lr: 0.0300
| Epoch  28, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=0.703, TAw acc=  0.0% | lr: 0.0300
| Epoch  29, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.813, TAw acc=  0.0% | lr: 0.0300
| Epoch  30, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.666, TAw acc=  0.0% | lr: 0.0300
| Epoch  31, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.638, TAw acc=  0.0% | lr: 0.0300
| Epoch  32, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.651, TAw acc=  0.0% | lr: 0.0300
| Epoch  33, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.605, TAw acc=  0.0% | lr: 0.0300
| Epoch  34, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.553, TAw acc=  0.0% | lr: 0.0300
| Epoch  35, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=0.694, TAw acc=  0.0% | lr: 0.0300
| Epoch  36, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.619, TAw acc=  0.0% | lr: 0.0300
| Epoch  37, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.515, TAw acc=  0.0% | lr: 0.0300
| Epoch  38, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.530, TAw acc=  0.0% | lr: 0.0300
| Epoch  39, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.590, TAw acc=  0.0% | lr: 0.0300
| Epoch  40, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.616, TAw acc=  0.0% | lr: 0.0300
| Epoch  41, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.472, TAw acc=  0.0% | lr: 0.0300
| Epoch  42, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.645, TAw acc=  0.0% | lr: 0.0300
| Epoch  43, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.548, TAw acc=  0.0% | lr: 0.0300
| Epoch  44, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.556, TAw acc=  0.0% | lr: 0.0300
| Epoch  45, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=0.517, TAw acc=  0.0% | lr: 0.0300
| Epoch  46, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.499, TAw acc=  0.0% | lr: 0.0300
| Epoch  47, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.565, TAw acc=  0.0% | lr: 0.0300
| Epoch  48, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.485, TAw acc=  0.0% | lr: 0.0300
| Epoch  49, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.596, TAw acc=  0.0% | lr: 0.0300
| Epoch  50, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.510, TAw acc=  0.0% | lr: 0.0300
| Epoch  51, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=0.491, TAw acc=  0.0% | lr: 0.0300
| Epoch  52, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.540, TAw acc=  0.0% | lr: 0.0300
| Epoch  53, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.517, TAw acc=  0.0% | lr: 0.0300
| Epoch  54, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.530, TAw acc=  0.0% | lr: 0.0300
| Epoch  55, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.555, TAw acc=  0.0% | lr: 0.0300
| Epoch  56, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=0.528, TAw acc=  0.0% | lr: 0.0300
| Epoch  57, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.514, TAw acc=  0.0% | lr: 0.0300
| Epoch  58, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.514, TAw acc=  0.0% | lr: 0.0300
| Epoch  59, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.516, TAw acc=  0.0% | lr: 0.0300
| Epoch  60, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.486, TAw acc=  0.0% | lr: 0.0300
| Epoch  61, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.499, TAw acc=  0.0% | lr: 0.0300
| Epoch  62, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.660, TAw acc=  0.0% | lr: 0.0300
| Epoch  63, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.480, TAw acc=  0.0% | lr: 0.0300
| Epoch  64, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.485, TAw acc=  0.0% | lr: 0.0300
| Epoch  65, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.476, TAw acc=  0.0% | lr: 0.0300
| Epoch  66, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=0.489, TAw acc=  0.0% | lr: 0.0300
| Epoch  67, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.464, TAw acc=  0.0% | lr: 0.0300
| Epoch  68, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=0.535, TAw acc=  0.0% | lr: 0.0300
| Epoch  69, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.497, TAw acc=  0.0% | lr: 0.0300
| Epoch  70, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.497, TAw acc=  0.0% | lr: 0.0300
| Epoch  71, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.796, TAw acc=  0.0% | lr: 0.0300
| Epoch  72, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.480, TAw acc=  0.0% | lr: 0.0300
| Epoch  73, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.471, TAw acc=  0.0% | lr: 0.0300
| Epoch  74, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.490, TAw acc=  0.0% | lr: 0.0300
| Epoch  75, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.462, TAw acc=  0.0% | lr: 0.0300
| Epoch  76, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=0.491, TAw acc=  0.0% | lr: 0.0300
| Epoch  77, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.480, TAw acc=  0.0% | lr: 0.0300
| Epoch  78, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.481, TAw acc=  0.0% | lr: 0.0300
| Epoch  79, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.465, TAw acc=  0.0% | lr: 0.0300
| Epoch  80, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.518, TAw acc=  0.0% | lr: 0.0300
| Epoch  81, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.477, TAw acc=  0.0% | lr: 0.0300
| Epoch  82, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.497, TAw acc=  0.0% | lr: 0.0300
| Epoch  83, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=0.504, TAw acc=  0.0% | lr: 0.0300
| Epoch  84, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.457, TAw acc=  0.0% | lr: 0.0300
| Epoch  85, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.462, TAw acc=  0.0% | lr: 0.0300
| Epoch  86, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.446, TAw acc=  0.0% | lr: 0.0300
| Epoch  87, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.461, TAw acc=  0.0% | lr: 0.0300
| Epoch  88, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.466, TAw acc=  0.0% | lr: 0.0300
| Epoch  89, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.496, TAw acc=  0.0% | lr: 0.0300
| Epoch  90, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.467, TAw acc=  0.0% | lr: 0.0300
| Epoch  91, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.468, TAw acc=  0.0% | lr: 0.0300
| Epoch  92, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.482, TAw acc=  0.0% | lr: 0.0300
| Epoch  93, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.461, TAw acc=  0.0% | lr: 0.0300
| Epoch  94, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.470, TAw acc=  0.0% | lr: 0.0300
| Epoch  95, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.454, TAw acc=  0.0% | lr: 0.0300
| Epoch  96, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.444, TAw acc=  0.0% | lr: 0.0300
| Epoch  97, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=0.454, TAw acc=  0.0% | lr: 0.0300
| Epoch  98, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.456, TAw acc=  0.0% | lr: 0.0300
