Taskcla:  [(0, 3), (1, 2), (2, 2)]
 Epoch: 8 | Train: time= 54.0s | Valid: time= 11.0s loss=0.529, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 55.4s | Valid: time= 11.2s loss=0.551, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 55.6s | Valid: time= 11.2s loss=0.536, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 54.6s | Valid: time= 11.5s loss=1.559, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 55.7s | Valid: time= 11.2s loss=0.726, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 58.0s | Valid: time= 11.7s loss=0.544, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 56.4s | Valid: time= 12.5s loss=0.649, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 58.9s | Valid: time= 12.2s loss=0.531, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 57.0s | Valid: time= 11.7s loss=0.518, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 55.9s | Valid: time= 11.7s loss=0.748, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 56.5s | Valid: time= 11.6s loss=0.788, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 58.2s | Valid: time= 11.3s loss=0.639, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 56.5s | Valid: time= 11.6s loss=0.950, TAw acc=  0.0% |
 Epoch: 21 | Train: time= 57.5s | Valid: time= 11.8s loss=0.728, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 55.7s | Valid: time= 11.7s loss=0.468, TAw acc=  0.0% |
 Epoch: 23 | Train: time= 56.4s | Valid: time= 11.5s loss=0.642, TAw acc=  0.0% |
 Epoch: 24 | Train: time= 55.6s | Valid: time= 11.8s loss=0.532, TAw acc=  0.0% |
 Epoch: 25 | Train: time= 56.8s | Valid: time= 11.7s loss=0.610, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 57.6s | Valid: time= 11.6s loss=0.541, TAw acc=  0.0% |
 Epoch: 27 | Train: time= 53.2s | Valid: time= 11.3s loss=0.503, TAw acc=  0.0% |
 Epoch: 28 | Train: time= 52.9s | Valid: time= 10.6s loss=0.580, TAw acc=  0.0% |
