Files already downloaded and verified
Files already downloaded and verified
num params: 482856
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 12.8s | Train: skip eval | Valid: time=  0.2s loss=1.918, TAw acc=  0.0% | *
| Epoch   2, time= 13.9s | Train: skip eval | Valid: time=  0.1s loss=1.781, TAw acc=  0.0% | *
| Epoch   3, time= 12.8s | Train: skip eval | Valid: time=  0.2s loss=1.680, TAw acc=  0.0% | *
| Epoch   4, time= 14.4s | Train: skip eval | Valid: time=  0.2s loss=1.546, TAw acc=  0.0% | *
| Epoch   5, time= 13.3s | Train: skip eval | Valid: time=  0.1s loss=1.857, TAw acc=  0.0% |
| Epoch   6, time= 13.4s | Train: skip eval | Valid: time=  0.2s loss=1.379, TAw acc=  0.0% | *
| Epoch   7, time= 14.7s | Train: skip eval | Valid: time=  0.2s loss=1.546, TAw acc=  0.0% |
| Epoch   8, time= 14.7s | Train: skip eval | Valid: time=  0.2s loss=1.425, TAw acc=  0.0% |
| Epoch   9, time= 14.5s | Train: skip eval | Valid: time=  0.2s loss=1.596, TAw acc=  0.0% |
| Epoch  10, time= 14.4s | Train: skip eval | Valid: time=  0.2s loss=1.435, TAw acc=  0.0% |
| Epoch  11, time= 14.9s | Train: skip eval | Valid: time=  0.2s loss=1.292, TAw acc=  0.0% | *
| Epoch  12, time= 12.6s | Train: skip eval | Valid: time=  0.2s loss=1.291, TAw acc=  0.0% | *
| Epoch  13, time= 13.4s | Train: skip eval | Valid: time=  0.2s loss=1.463, TAw acc=  0.0% |
| Epoch  14, time= 14.6s | Train: skip eval | Valid: time=  0.1s loss=1.344, TAw acc=  0.0% |
| Epoch  15, time= 11.7s | Train: skip eval | Valid: time=  0.2s loss=1.209, TAw acc=  0.0% | *
| Epoch  16, time= 12.2s | Train: skip eval | Valid: time=  0.2s loss=1.165, TAw acc=  0.0% | *
| Epoch  17, time= 12.7s | Train: skip eval | Valid: time=  0.2s loss=1.354, TAw acc=  0.0% |
| Epoch  18, time= 12.3s | Train: skip eval | Valid: time=  0.2s loss=1.178, TAw acc=  0.0% |
| Epoch  19, time= 12.3s | Train: skip eval | Valid: time=  0.2s loss=1.124, TAw acc=  0.0% | *
| Epoch  20, time= 14.6s | Train: skip eval | Valid: time=  0.2s loss=1.092, TAw acc=  0.0% | *
| Epoch  21, time= 13.3s | Train: skip eval | Valid: time=  0.2s loss=1.035, TAw acc=  0.0% | *
| Epoch  22, time= 14.3s | Train: skip eval | Valid: time=  0.2s loss=1.135, TAw acc=  0.0% |
| Epoch  23, time= 15.0s | Train: skip eval | Valid: time=  0.2s loss=1.307, TAw acc=  0.0% |
| Epoch  24, time= 14.8s | Train: skip eval | Valid: time=  0.2s loss=0.995, TAw acc=  0.0% | *
| Epoch  25, time= 13.1s | Train: skip eval | Valid: time=  0.2s loss=0.961, TAw acc=  0.0% | *
| Epoch  26, time= 13.4s | Train: skip eval | Valid: time=  0.2s loss=1.188, TAw acc=  0.0% |
| Epoch  27, time= 13.4s | Train: skip eval | Valid: time=  0.2s loss=0.943, TAw acc=  0.0% | *
| Epoch  28, time= 12.1s | Train: skip eval | Valid: time=  0.2s loss=1.116, TAw acc=  0.0% |
| Epoch  29, time= 12.1s | Train: skip eval | Valid: time=  0.2s loss=1.261, TAw acc=  0.0% |
| Epoch  30, time= 14.1s | Train: skip eval | Valid: time=  0.2s loss=0.943, TAw acc=  0.0% | *
| Epoch  31, time= 14.0s | Train: skip eval | Valid: time=  0.2s loss=1.255, TAw acc=  0.0% |
| Epoch  32, time= 15.3s | Train: skip eval | Valid: time=  0.2s loss=1.288, TAw acc=  0.0% |
| Epoch  33, time= 14.4s | Train: skip eval | Valid: time=  0.2s loss=1.047, TAw acc=  0.0% |
| Epoch  34, time= 13.7s | Train: skip eval | Valid: time=  0.2s loss=1.120, TAw acc=  0.0% |
| Epoch  35, time= 13.8s | Train: skip eval | Valid: time=  0.1s loss=0.894, TAw acc=  0.0% | *
| Epoch  36, time= 12.1s | Train: skip eval | Valid: time=  0.2s loss=0.964, TAw acc=  0.0% |
| Epoch  37, time= 12.5s | Train: skip eval | Valid: time=  0.2s loss=1.109, TAw acc=  0.0% |
| Epoch  38, time= 12.3s | Train: skip eval | Valid: time=  0.2s loss=0.938, TAw acc=  0.0% |
| Epoch  39, time= 12.5s | Train: skip eval | Valid: time=  0.2s loss=1.108, TAw acc=  0.0% |
| Epoch  40, time= 13.4s | Train: skip eval | Valid: time=  0.2s loss=0.946, TAw acc=  0.0% |
| Epoch  41, time= 15.0s | Train: skip eval | Valid: time=  0.2s loss=0.920, TAw acc=  0.0% |
| Epoch  42, time= 14.8s | Train: skip eval | Valid: time=  0.2s loss=1.105, TAw acc=  0.0% |
| Epoch  43, time= 15.0s | Train: skip eval | Valid: time=  0.2s loss=1.023, TAw acc=  0.0% |
