Using downloaded and verified file: ./data/tissuemnist/tissuemnist.npz
Using downloaded and verified file: ./data/tissuemnist/tissuemnist.npz
num params: 465968
[(0, 2), (1, 2), (2, 2), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  56, time= 23.3s | Train: skip eval | Valid: time=  1.4s loss=0.286, TAw acc= 89.1% |
| Epoch  57, time= 22.0s | Train: skip eval | Valid: time=  1.5s loss=0.285, TAw acc= 89.3% |
| Epoch  58, time= 22.4s | Train: skip eval | Valid: time=  1.5s loss=0.284, TAw acc= 89.3% |
| Epoch  59, time= 22.5s | Train: skip eval | Valid: time=  1.5s loss=0.283, TAw acc= 89.3% |
| Epoch  60, time= 22.9s | Train: skip eval | Valid: time=  1.5s loss=0.278, TAw acc= 89.8% |
| Epoch  61, time= 22.5s | Train: skip eval | Valid: time=  1.5s loss=0.276, TAw acc= 89.4% |
| Epoch  62, time= 22.3s | Train: skip eval | Valid: time=  1.5s loss=0.279, TAw acc= 89.3% |
| Epoch  63, time= 22.6s | Train: skip eval | Valid: time=  1.5s loss=0.279, TAw acc= 89.6% |
| Epoch  64, time= 23.2s | Train: skip eval | Valid: time=  1.4s loss=0.277, TAw acc= 89.4% |
| Epoch  65, time= 22.7s | Train: skip eval | Valid: time=  1.5s loss=0.275, TAw acc= 89.6% | *
| Epoch  66, time= 22.7s | Train: skip eval | Valid: time=  1.5s loss=0.275, TAw acc= 89.5% |
| Epoch  67, time= 22.6s | Train: skip eval | Valid: time=  1.5s loss=0.279, TAw acc= 89.1% |
| Epoch  68, time= 22.5s | Train: skip eval | Valid: time=  1.5s loss=0.274, TAw acc= 89.8% | *
| Epoch  69, time= 21.9s | Train: skip eval | Valid: time=  1.5s loss=0.272, TAw acc= 89.8% | *
| Epoch  70, time= 22.2s | Train: skip eval | Valid: time=  1.5s loss=0.295, TAw acc= 88.2% |
| Epoch  71, time= 23.0s | Train: skip eval | Valid: time=  1.4s loss=0.267, TAw acc= 89.7% | *
| Epoch  72, time= 23.0s | Train: skip eval | Valid: time=  1.6s loss=0.271, TAw acc= 89.6% |
| Epoch  73, time= 22.3s | Train: skip eval | Valid: time=  1.5s loss=0.325, TAw acc= 86.7% |
| Epoch  74, time= 22.7s | Train: skip eval | Valid: time=  1.5s loss=0.286, TAw acc= 89.7% |
| Epoch  75, time= 22.2s | Train: skip eval | Valid: time=  1.5s loss=0.275, TAw acc= 89.5% |
| Epoch  76, time= 22.4s | Train: skip eval | Valid: time=  1.5s loss=0.277, TAw acc= 89.4% |
| Epoch  77, time= 22.3s | Train: skip eval | Valid: time=  1.5s loss=0.273, TAw acc= 89.8% |
| Epoch  78, time= 22.7s | Train: skip eval | Valid: time=  1.4s loss=0.296, TAw acc= 88.6% |
| Epoch  79, time= 21.1s | Train: skip eval | Valid: time=  1.5s loss=0.275, TAw acc= 89.8% |
| Epoch  80, time= 22.8s | Train: skip eval | Valid: time=  1.6s loss=0.273, TAw acc= 89.6% |
| Epoch  81, time= 22.6s | Train: skip eval | Valid: time=  1.5s loss=0.274, TAw acc= 89.4% |
| Epoch  82, time= 22.9s | Train: skip eval | Valid: time=  1.5s loss=0.286, TAw acc= 88.6% |
| Epoch  83, time= 23.0s | Train: skip eval | Valid: time=  1.5s loss=0.280, TAw acc= 89.3% |
| Epoch  84, time= 22.7s | Train: skip eval | Valid: time=  1.5s loss=0.269, TAw acc= 89.9% |
| Epoch  85, time= 22.1s | Train: skip eval | Valid: time=  1.5s loss=0.310, TAw acc= 87.2% |
| Epoch  86, time= 23.1s | Train: skip eval | Valid: time=  1.6s loss=0.278, TAw acc= 89.4% |
| Selected 200 train exemplars, time=169.4s
self.logits length and one shape:  200 (2,)
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.280 | TAw acc= 89.3%, forg=  0.0%| TAg acc= 89.3%, forg=  0.0% <<<
Save at ./results/ACCV_2024_rebuttal/der/tissuemnist/tissuemnist_der_fixd_cl_4
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time= 98.2s | Train: skip eval | Valid: time=  0.8s loss=0.518, TAw acc= 76.8% | *
| Epoch   2, time= 97.2s | Train: skip eval | Valid: time=  0.8s loss=0.484, TAw acc= 77.2% | *
| Epoch   3, time=104.3s | Train: skip eval | Valid: time=  0.8s loss=0.418, TAw acc= 80.2% | *
| Epoch   4, time= 98.6s | Train: skip eval | Valid: time=  0.8s loss=0.402, TAw acc= 80.8% | *
| Epoch   5, time= 96.0s | Train: skip eval | Valid: time=  1.0s loss=0.389, TAw acc= 82.1% | *
| Epoch   6, time= 98.3s | Train: skip eval | Valid: time=  0.8s loss=0.425, TAw acc= 80.2% |
| Epoch   7, time=100.2s | Train: skip eval | Valid: time=  0.8s loss=0.376, TAw acc= 82.1% | *
| Epoch   8, time= 96.8s | Train: skip eval | Valid: time=  0.8s loss=0.380, TAw acc= 82.4% |
| Epoch   9, time= 97.9s | Train: skip eval | Valid: time=  0.8s loss=0.412, TAw acc= 81.1% |
| Epoch  10, time=109.4s | Train: skip eval | Valid: time=  0.8s loss=0.372, TAw acc= 83.1% | *
| Epoch  11, time=120.2s | Train: skip eval | Valid: time=  1.0s loss=0.382, TAw acc= 82.6% |
| Epoch  12, time=121.9s | Train: skip eval | Valid: time=  1.0s loss=0.466, TAw acc= 77.5% |
| Epoch  13, time=122.0s | Train: skip eval | Valid: time=  1.0s loss=0.425, TAw acc= 79.9% |
| Epoch  14, time=121.2s | Train: skip eval | Valid: time=  1.0s loss=0.350, TAw acc= 84.4% | *
| Epoch  15, time=121.1s | Train: skip eval | Valid: time=  1.0s loss=0.357, TAw acc= 83.5% |
| Epoch  16, time=122.0s | Train: skip eval | Valid: time=  1.0s loss=0.391, TAw acc= 81.7% |
| Epoch  17, time=122.4s | Train: skip eval | Valid: time=  1.0s loss=0.353, TAw acc= 84.5% |
| Epoch  18, time=121.3s | Train: skip eval | Valid: time=  1.0s loss=0.354, TAw acc= 84.3% |
