Files already downloaded and verified
Files already downloaded and verified
num params: 482856
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  56, time= 15.1s | Train: skip eval | Valid: time=  0.2s loss=0.753, TAw acc=  0.0% |
| Epoch  57, time= 14.2s | Train: skip eval | Valid: time=  0.1s loss=0.879, TAw acc=  0.0% |
| Epoch  58, time= 12.1s | Train: skip eval | Valid: time=  0.2s loss=0.981, TAw acc=  0.0% |
| Epoch  59, time= 12.4s | Train: skip eval | Valid: time=  0.1s loss=1.235, TAw acc=  0.0% |
| Epoch  60, time= 13.4s | Train: skip eval | Valid: time=  0.2s loss=1.033, TAw acc=  0.0% |
| Epoch  61, time= 14.0s | Train: skip eval | Valid: time=  0.1s loss=0.730, TAw acc=  0.0% |
| Epoch  62, time= 13.0s | Train: skip eval | Valid: time=  0.2s loss=0.707, TAw acc=  0.0% |
| Epoch  63, time= 12.6s | Train: skip eval | Valid: time=  0.2s loss=0.850, TAw acc=  0.0% |
self.logits length and one shape:  2000 (100,)
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.725 | TAw acc=  0.0%, forg=  0.0%| TAg acc= 75.6%, forg=  0.0% <<<
Save at ./results/20241018_der/cifar100/cifar100_icarl_der_base_csl_2
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time= 11.1s | Train: skip eval | Valid: time=  0.2s loss=2.367, TAw acc=  0.0% | *
| Epoch   2, time= 11.4s | Train: skip eval | Valid: time=  0.2s loss=2.035, TAw acc=  0.0% | *
| Epoch   3, time= 11.4s | Train: skip eval | Valid: time=  0.2s loss=1.965, TAw acc=  0.0% | *
| Epoch   4, time= 11.3s | Train: skip eval | Valid: time=  0.1s loss=1.803, TAw acc=  0.0% | *
| Epoch   5, time= 11.8s | Train: skip eval | Valid: time=  0.2s loss=1.618, TAw acc=  0.0% | *
| Epoch   6, time= 11.9s | Train: skip eval | Valid: time=  0.2s loss=1.944, TAw acc=  0.0% |
| Epoch   7, time= 13.6s | Train: skip eval | Valid: time=  0.2s loss=1.907, TAw acc=  0.0% |
| Epoch   8, time= 11.7s | Train: skip eval | Valid: time=  0.2s loss=1.680, TAw acc=  0.0% |
| Epoch   9, time= 14.1s | Train: skip eval | Valid: time=  0.2s loss=1.650, TAw acc=  0.0% |
| Epoch  10, time= 13.9s | Train: skip eval | Valid: time=  0.2s loss=1.990, TAw acc=  0.0% |
| Epoch  11, time= 12.2s | Train: skip eval | Valid: time=  0.2s loss=1.715, TAw acc=  0.0% |
