Files already downloaded and verified
Files already downloaded and verified
Classifier output dim:  100
num params: 11220132
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 17.2s | Train: skip eval | Valid: time=  0.3s loss=2.173, TAw acc=  0.0% | lr: 0.0300
| Epoch   2, time= 10.8s | Train: skip eval | Valid: time=  0.3s loss=1.786, TAw acc=  0.0% | lr: 0.0300
| Epoch   3, time= 11.0s | Train: skip eval | Valid: time=  0.3s loss=1.544, TAw acc=  0.0% | lr: 0.0300
| Epoch   4, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=1.359, TAw acc=  0.0% | lr: 0.0300
| Epoch   5, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=1.089, TAw acc=  0.0% | lr: 0.0300
| Epoch   6, time= 10.9s | Train: skip eval | Valid: time=  0.3s loss=1.241, TAw acc=  0.0% | lr: 0.0300
| Epoch   7, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=1.233, TAw acc=  0.0% | lr: 0.0300
| Epoch   8, time= 10.9s | Train: skip eval | Valid: time=  0.3s loss=1.135, TAw acc=  0.0% | lr: 0.0300
| Epoch   9, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=1.034, TAw acc=  0.0% | lr: 0.0300
| Epoch  10, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=0.992, TAw acc=  0.0% | lr: 0.0300
| Epoch  11, time= 10.8s | Train: skip eval | Valid: time=  0.3s loss=1.336, TAw acc=  0.0% | lr: 0.0300
| Epoch  12, time= 10.8s | Train: skip eval | Valid: time=  0.3s loss=1.061, TAw acc=  0.0% | lr: 0.0300
| Epoch  13, time= 10.8s | Train: skip eval | Valid: time=  0.3s loss=0.925, TAw acc=  0.0% | lr: 0.0300
| Epoch  14, time= 10.8s | Train: skip eval | Valid: time=  0.3s loss=1.072, TAw acc=  0.0% | lr: 0.0300
| Epoch  15, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.736, TAw acc=  0.0% | lr: 0.0300
| Epoch  16, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=0.754, TAw acc=  0.0% | lr: 0.0300
| Epoch  17, time= 10.8s | Train: skip eval | Valid: time=  0.3s loss=0.970, TAw acc=  0.0% | lr: 0.0300
| Epoch  18, time= 10.8s | Train: skip eval | Valid: time=  0.3s loss=0.883, TAw acc=  0.0% | lr: 0.0300
| Epoch  19, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=0.824, TAw acc=  0.0% | lr: 0.0300
